35423,4,,,874,1044,,
35422,23,,,874,492,,
35421,18,,,872,20262,,
35420,4,,,872,606,,
35419,24,,,871,32929,,
35418,11,,,871,26702,,
35417,76,,,870,820,,
35416,99,,,869,22379,,
35415,47,,,869,4537,,
35414,27,,,866,32828,,
35413,134,,,866,31941,,
35412,71,,,866,22711,,
35411,12,,,866,14640,,
35410,123,,,866,8120,,
35409,231,,,865,21589,,
35408,20,,,864,22633,,
35407,24,,,863,30077,,
35406,5,,,862,34156,,
35405,16,,,862,23844,,
35404,35,,,862,6007,,
35403,17,,,861,3254,,
35402,28,,,860,11580,,
35401,121,,,860,3744,,
35400,9,,,858,34403,,
35399,10,,,857,18947,,
35398,37,,,856,28898,,
35397,77,,,856,25284,,
35396,418,,,855,30561,,
35395,160,,,855,2990,,
35394,201,,,854,20373,,
35393,13,,,854,13052,,
35392,11,,,852,14049,,
35391,19,,,852,2880,,
35390,19,,,851,17246,,
35389,17,,,851,12506,,
35388,80,,,850,22357,,
35387,13,,,850,7534,,
35386,157,,,849,11565,,
35385,28,,,849,11395,,
35384,11,,,848,35626,,
35383,393,,,847,33610,,
35382,9,,,847,32620,,
35381,200,,,847,26672,,
35380,25,,,847,16919,,
35379,51,,,845,28662,,
35378,12,,,845,28155,,
35377,26,,,845,1294,,
35376,6,,,844,14477,,
35375,196,,,844,11387,,
35374,50,,,844,7452,,
35373,10,,,843,33462,,
35372,4,,,843,29370,,
35371,130,,,843,8802,,
35370,7,,,843,6793,,
35369,23,,,842,35093,,
35368,57,,,842,30095,,
35367,27,,,842,17502,,
35366,44,,,841,17435,,
35365,31,,,839,29444,,
35364,13,,,839,18588,,
35363,5,,,839,5392,,
35362,29,,,839,4548,,
35361,25,,,837,31456,,
35360,133,,,837,30343,,
35359,15,,,836,26900,,
35358,242,,,835,33790,,
35357,9,,,835,21804,,
35356,27,,,835,20368,,
35355,57,,,834,15600,,
35354,52,,,834,12489,,
35353,39,,,833,35070,,
35352,16,,,833,27802,,
35351,35,,,833,27075,,
35350,19,,,833,2218,,
35349,346,,,832,26253,,
35348,104,,,832,3557,,
35347,4,,,831,22137,,
35346,100,,,831,16581,,
35345,277,,,831,12546,,
35344,16,,,830,10185,,
35343,6,,,829,33561,,
35342,22,,,828,1743,,
